route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__home__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:20:40.186Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/records/index,,记录,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__records__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:20:51.101Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community/index,,社区,基础与其他现有页面,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__community__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:21:02.184Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/profile/index,,我的,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__profile__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:21:12.902Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/account/index,intent=login,登录,基础与其他现有页面,guest,authenticated local identity continuation state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__account__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:21:23.918Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/task/index,id=b1f96980-f6e0-4c86-ba30-fc9c171ee97a,投稿邀请,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__task__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:21:34.601Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/submit/index,id=cdf1269f-1df4-4f0b-8aa9-0d72fa7f4339,提交护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__submit__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:21:45.933Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/progress/index,id=cdf1269f-1df4-4f0b-8aa9-0d72fa7f4339,投稿进度,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__progress__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:21:56.534Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/points/index,,积分账,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__points__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:22:07.500Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/post/index,id=brand-scalp-ritual,护理故事,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__post__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:22:18.266Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/shop/index,,护理商品,商城用户端,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_c6576b53cf3a911ac7cab5bc; schema 75; no production data,screenshots/raw/pages__shop__index.png,local-worktree:f4c8df9e5be0+f627b9714437,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-23T00:22:29.334Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
