route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/records/index,,记录,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community/index,,社区,基础与其他现有页面,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/profile/index,,我的,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/account/index,intent=login,登录,基础与其他现有页面,guest,authenticated local identity continuation state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/task/index,id=879176fc-353b-4968-80fb-27e21e9cc3d7,投稿邀请,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/submit/index,id=5358b32d-2d6d-4de4-9a46-d190c498dd71,提交护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/progress/index,id=5358b32d-2d6d-4de4-9a46-d190c498dd71,投稿进度,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/points/index,,积分账,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/post/index,id=brand-scalp-ritual,护理故事,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/shop/index,,护理商品,商城用户端,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/checkout/index,product=synthetic-acceptance-serum&sku=2b3f5491-a844-442e-853e-e4d26236a277&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/order-detail/index,id=071c6a75-7ee3-44f4-9604-dae97216c984,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_ee3def22451ab4df51433599; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
