route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/records/index,,记录,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community/index,,社区,基础与其他现有页面,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/profile/index,,我的,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/account/index,intent=login,登录,基础与其他现有页面,guest,authenticated local identity continuation state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/task/index,id=9b5c3e0e-794b-4e95-806f-863470f5d0cb,投稿邀请,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/submit/index,id=1bea2782-e423-40ae-ab50-a9fbda38df14,提交护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/progress/index,id=1bea2782-e423-40ae-ab50-a9fbda38df14,投稿进度,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/points/index,,积分账,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/post/index,id=brand-scalp-ritual,护理故事,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/shop/index,,护理商品,商城用户端,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/checkout/index,product=synthetic-acceptance-serum&sku=528924f2-1718-41fb-8cd4-845b2b5cb2a4&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/order-detail/index,id=b7840a3e-e6c1-43ad-a0c9-debe7481aba7,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-product/index,id=9f55ae5c-6cff-4da3-9fcb-c28c022678fe,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-order-detail/index,id=93c636ac-acf8-42fd-8a00-2f0b8b95a5da,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-support-chat/index,id=7f12c451-f97c-4c96-8581-1d5ff8a6347b,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-members/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-member/index,id=990aea22-7b78-4756-b705-e35ff0b82551,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/referral/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-compose/index,,创作护理故事,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-post/index,id=0a5b2798-38d1-4420-b5fb-ebc2ba705fb6,护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-author/index,id=b893c242-11b8-4066-8d7d-bf798961432b,,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-review/index,id=557da59f-25e0-45c6-a04f-471eb6f1b165,社区内容审核,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/community-activity/index,,我的社区,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/management-finance/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
pages/commission/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Owned disposable fixture cisme_test_0b629bd98b5e3ab15bd9c1a9; schema 75; no production data,,local-worktree:2df301818c55+728cdc6cdfff,capture pending,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,,BLOCKED_CAPTURE,simulator_screenshot unavailable; manual raw capture required
