route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__home__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:20:13.475Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/records/index,,记录,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__records__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:20:24.508Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community/index,,社区,基础与其他现有页面,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__community__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:20:35.390Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/profile/index,,我的,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__profile__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:20:45.957Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/account/index,intent=login,登录,基础与其他现有页面,guest,authenticated local identity continuation state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__account__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:20:56.406Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/task/index,id=0f9af9b8-5cc2-4c44-a9a4-f5d31d5b1586,投稿邀请,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__task__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:21:07.291Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/submit/index,id=793b049d-c949-4652-93d2-9de714852e89,提交护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__submit__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:21:34.858Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/progress/index,id=793b049d-c949-4652-93d2-9de714852e89,投稿进度,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__progress__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:21:45.641Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/points/index,,积分账,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__points__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:21:56.325Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/post/index,id=brand-scalp-ritual,护理故事,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__post__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:22:06.750Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/shop/index,,护理商品,商城用户端,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__shop__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:22:17.508Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__product__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:22:28.174Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=b22d7a9f-5889-4d33-9b94-1f083ee41fdb&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:22:39.057Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__orders__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:22:49.781Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=a7ef8a62-9fcc-47f1-93e0-7b8396423b90,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:8e843a6b0a28+949fcf9da6d4,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T18:23:00.324Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
